Strain,Region
ApHZ2_NY,New York
ApNYW_NY,New York
ApHGE1_MN,Minnesota
ApHGE2_MN,Minnesota
ApWebster_WI,Wisconsin
ApWI1_WI,Wisconsin
ApNCH1_MA,Massachusets
ApDog2_MN,Minnesota
ApRodent1_MN,Minnesota
ApRodent2_MN,Minnesota
ApCRT35_MN,Minnesota
ApCRT38_MN,Minnesota
ApCRT53_MN,Minnesota
ApHorse1_CA,California
ApDog1_GER,Germany
ApDog2_GER,Germany
ApSheepNorV1,Norway
ApSheepNorV2,Norway
ApRoeDeer1_GER,Germany
ApBov1_FRA,France
ApCow1_FRA,France
ApCow2_FRA,France
ApCow3_FRA,France
ApCow4_FRA,France
ApCow5_GER,Germany
ApHorse1_MN,Minnesota
ApHorse1_FRA,France
ApHorse2_FRA,France
